category,program,role,source_absolute_path,source_relative_path,destination_absolute_path,filename,source_width,source_height,source_size_bytes,source_sha256,destination_exists,destination_sha256,copy_action,warning,status
Atlas Trekkings,2-day Toubkal trekking,gallery,C:\Users\ASUS\Desktop\authentic morocco adventures pictures\webp-production-ready\Atlas Trekkings\2-day Toubkal trekking\2-day-toubkal-trekking-atlas-mountains-hiker-viewpoint-gallery.webp,Atlas Trekkings\2-day Toubkal trekking\2-day-toubkal-trekking-atlas-mountains-hiker-viewpoint-gallery.webp,C:\Users\ASUS\Desktop\Clients\LocalMoroccoTours\LocalMoroccoTours\public\assets\images\programs\Atlas Trekkings\2-day Toubkal trekking\2-day-toubkal-trekking-atlas-mountains-hiker-viewpoint-gallery.webp,2-day-toubkal-trekking-atlas-mountains-hiker-viewpoint-gallery.webp,1500,1125,275022,6a120560efe09e3608dd56d4de1f915a6174d354c3d07010628a33067c900f66,no,,safe-new-file,,planned
Atlas Trekkings,2-day Toubkal trekking,cover,C:\Users\ASUS\Desktop\authentic morocco adventures pictures\webp-production-ready\Atlas Trekkings\2-day Toubkal trekking\2-day-toubkal-trekking-toubkal-summit-snow-trekkers-cover.webp,Atlas Trekkings\2-day Toubkal trekking\2-day-toubkal-trekking-toubkal-summit-snow-trekkers-cover.webp,C:\Users\ASUS\Desktop\Clients\LocalMoroccoTours\LocalMoroccoTours\public\assets\images\programs\Atlas Trekkings\2-day Toubkal trekking\2-day-toubkal-trekking-toubkal-summit-snow-trekkers-cover.webp,2-day-toubkal-trekking-toubkal-summit-snow-trekkers-cover.webp,1200,750,133622,1cdd30a80a092d33775bb14bd3b7b0d43c722a2aeed5a02352f7f2838bfe8bf3,no,,safe-new-file,,planned
Atlas Trekkings,3-day Berber villages trek,gallery,C:\Users\ASUS\Desktop\authentic morocco adventures pictures\webp-production-ready\Atlas Trekkings\3-day Berber villages trek\3-day-berber-villages-trek-high-atlas-trekking-group-trail-gallery.webp,Atlas Trekkings\3-day Berber villages trek\3-day-berber-villages-trek-high-atlas-trekking-group-trail-gallery.webp,C:\Users\ASUS\Desktop\Clients\LocalMoroccoTours\LocalMoroccoTours\public\assets\images\programs\Atlas Trekkings\3-day Berber villages trek\3-day-berber-villages-trek-high-atlas-trekking-group-trail-gallery.webp,3-day-berber-villages-trek-high-atlas-trekking-group-trail-gallery.webp,669,446,116774,a5d5f3e882bd3900c839a10ec3b2ac4f7d03023d10e1b9da0c2c1d24b672ca18,no,,safe-new-file,,planned
Atlas Trekkings,3-day Berber villages trek,cover,C:\Users\ASUS\Desktop\authentic morocco adventures pictures\webp-production-ready\Atlas Trekkings\3-day Berber villages trek\3-day-berber-villages-trek-imlil-valley-berber-village-terraces-cover.webp,Atlas Trekkings\3-day Berber villages trek\3-day-berber-villages-trek-imlil-valley-berber-village-terraces-cover.webp,C:\Users\ASUS\Desktop\Clients\LocalMoroccoTours\LocalMoroccoTours\public\assets\images\programs\Atlas Trekkings\3-day Berber villages trek\3-day-berber-villages-trek-imlil-valley-berber-village-terraces-cover.webp,3-day-berber-villages-trek-imlil-valley-berber-village-terraces-cover.webp,960,540,177398,dadd3bad7fded7c313fa417554a73c755a4ef34910d201eb93baf13178660dbc,no,,safe-new-file,,planned
Atlas Trekkings,3-day Toubkal trekking tour,gallery,C:\Users\ASUS\Desktop\authentic morocco adventures pictures\webp-production-ready\Atlas Trekkings\3-day Toubkal trekking tour\3-day-toubkal-trekking-tour-imlil-valley-atlas-panorama-gallery.webp,Atlas Trekkings\3-day Toubkal trekking tour\3-day-toubkal-trekking-tour-imlil-valley-atlas-panorama-gallery.webp,C:\Users\ASUS\Desktop\Clients\LocalMoroccoTours\LocalMoroccoTours\public\assets\images\programs\Atlas Trekkings\3-day Toubkal trekking tour\3-day-toubkal-trekking-tour-imlil-valley-atlas-panorama-gallery.webp,3-day-toubkal-trekking-tour-imlil-valley-atlas-panorama-gallery.webp,1920,902,455078,d2399a2aaf989220116a9a55f2fecf4d950fae9eb30451fa9dd82fecda3515fa,no,,safe-new-file,,planned
Atlas Trekkings,3-day Toubkal trekking tour,cover,C:\Users\ASUS\Desktop\authentic morocco adventures pictures\webp-production-ready\Atlas Trekkings\3-day Toubkal trekking tour\3-day-toubkal-trekking-tour-toubkal-snowy-valley-trekker-cover.webp,Atlas Trekkings\3-day Toubkal trekking tour\3-day-toubkal-trekking-tour-toubkal-snowy-valley-trekker-cover.webp,C:\Users\ASUS\Desktop\Clients\LocalMoroccoTours\LocalMoroccoTours\public\assets\images\programs\Atlas Trekkings\3-day Toubkal trekking tour\3-day-toubkal-trekking-tour-toubkal-snowy-valley-trekker-cover.webp,3-day-toubkal-trekking-tour-toubkal-snowy-valley-trekker-cover.webp,1920,1280,303346,e0684422b840b0349a5283adc71542635b3470b6d0a67e7af0888cb4c766f083,no,,safe-new-file,,planned
Desert Tours from Casablanca,11-day grand tour from Casablanca,cover,C:\Users\ASUS\Desktop\authentic morocco adventures pictures\webp-production-ready\Desert Tours from Casablanca\11-day grand tour from Casablanca\11-day-grand-tour-from-casablanca-hassan-ii-mosque-casablanca-cover.webp,Desert Tours from Casablanca\11-day grand tour from Casablanca\11-day-grand-tour-from-casablanca-hassan-ii-mosque-casablanca-cover.webp,C:\Users\ASUS\Desktop\Clients\LocalMoroccoTours\LocalMoroccoTours\public\assets\images\programs\Desert Tours from Casablanca\11-day grand tour from Casablanca\11-day-grand-tour-from-casablanca-hassan-ii-mosque-casablanca-cover.webp,11-day-grand-tour-from-casablanca-hassan-ii-mosque-casablanca-cover.webp,1024,683,60506,21210586a24de683cebc1e0c2a5ccb96bff78748e8673e53ee0ee709e98f6e7e,no,,safe-new-file,,planned
Desert Tours from Casablanca,11-day grand tour from Casablanca,gallery,C:\Users\ASUS\Desktop\authentic morocco adventures pictures\webp-production-ready\Desert Tours from Casablanca\11-day grand tour from Casablanca\11-day-grand-tour-from-casablanca-skoura-oasis-kasbah-camel-gallery.webp,Desert Tours from Casablanca\11-day grand tour from Casablanca\11-day-grand-tour-from-casablanca-skoura-oasis-kasbah-camel-gallery.webp,C:\Users\ASUS\Desktop\Clients\LocalMoroccoTours\LocalMoroccoTours\public\assets\images\programs\Desert Tours from Casablanca\11-day grand tour from Casablanca\11-day-grand-tour-from-casablanca-skoura-oasis-kasbah-camel-gallery.webp,11-day-grand-tour-from-casablanca-skoura-oasis-kasbah-camel-gallery.webp,870,555,82064,f25fde2dbfb069ed74d39a7126893f53b332abeb78e3d6012a74fce2d9c5adb3,no,,safe-new-file,,planned
Desert Tours from Casablanca,14-day grand Morocco tour from Casablanca,cover,C:\Users\ASUS\Desktop\authentic morocco adventures pictures\webp-production-ready\Desert Tours from Casablanca\14-day grand Morocco tour from Casablanca\14-day-grand-morocco-tour-from-casablanca-chefchaouen-blue-city-sunset-cover.webp,Desert Tours from Casablanca\14-day grand Morocco tour from Casablanca\14-day-grand-morocco-tour-from-casablanca-chefchaouen-blue-city-sunset-cover.webp,C:\Users\ASUS\Desktop\Clients\LocalMoroccoTours\LocalMoroccoTours\public\assets\images\programs\Desert Tours from Casablanca\14-day grand Morocco tour from Casablanca\14-day-grand-morocco-tour-from-casablanca-chefchaouen-blue-city-sunset-cover.webp,14-day-grand-morocco-tour-from-casablanca-chefchaouen-blue-city-sunset-cover.webp,1000,510,72216,126e6b99896bb083a6f1c57ec617db9820c2225c9a77ec92077701785a6492e4,no,,safe-new-file,,planned
Desert Tours from Casablanca,14-day grand Morocco tour from Casablanca,gallery,C:\Users\ASUS\Desktop\authentic morocco adventures pictures\webp-production-ready\Desert Tours from Casablanca\14-day grand Morocco tour from Casablanca\14-day-grand-morocco-tour-from-casablanca-tizi-n-test-mountain-road-gallery.webp,Desert Tours from Casablanca\14-day grand Morocco tour from Casablanca\14-day-grand-morocco-tour-from-casablanca-tizi-n-test-mountain-road-gallery.webp,C:\Users\ASUS\Desktop\Clients\LocalMoroccoTours\LocalMoroccoTours\public\assets\images\programs\Desert Tours from Casablanca\14-day grand Morocco tour from Casablanca\14-day-grand-morocco-tour-from-casablanca-tizi-n-test-mountain-road-gallery.webp,14-day-grand-morocco-tour-from-casablanca-tizi-n-test-mountain-road-gallery.webp,1200,799,208982,b89c0e77d59751dbc78ac9923aa880b80cd26d8062dc7786ab49ceefe7982323,no,,safe-new-file,,planned
