record_index,section,data_title,data_slug,data_category,data_duration,image_category,image_program_folder,cover_filename,gallery_filename,match_status,confidence,matching_evidence,conflict,recommended_action,notes
0,tour,11-Day Morocco Desert Tour from Marrakech,11-day-morocco-desert-tour-from-marrakech,Tours from Marrakech,11 days,Tours from Marrakech,11-day around Morocco from Marrakech,11-day-around-morocco-from-marrakech-essaouira-beach-camels-surfer-cover.webp,11-day-around-morocco-from-marrakech-chefchaouen-blue-medina-walk-gallery.webp,normalized-exact,0.92,"Duration matches: 11 days | Origin matches: Marrakech | Grand loop itinerary (Sahara, Fes, Chefchaouen, Rabat) matches 'around Morocco'",,assign,
1,tour,2-Day Desert Tour from Marrakech to Agadir,2-day-desert-tour-from-marrakech-to-agadir,Tours from Marrakech,2 days,Tours from Marrakech,2-day Marrakech to Agadir,2-day-marrakech-to-agadir-agadir-beach-atlantic-bay-cover.webp,2-day-marrakech-to-agadir-agadir-marina-sunset-gallery.webp,normalized-exact,0.97,Duration matches: 2 days | Origin matches: Marrakech | Destination matches: Agadir,,assign,
2,tour,2-Day Desert Tour from Marrakech to Agadir & Essaouira,2-day-desert-tour-from-marrakech-to-agadir-and-essaouira,Tours from Marrakech,2 days,Tours from Marrakech,2-day Marrakech to Ait Benhaddou Agadir and Essaouira,2-day-marrakech-to-ait-benhaddou-agadir-and-essaouira-ait-benhaddou-kasbah-sunset-cover.webp,2-day-marrakech-to-ait-benhaddou-agadir-and-essaouira-essaouira-fishing-port-blue-boats-gallery.webp,high-confidence,0.82,Duration matches: 2 days | Origin matches: Marrakech | Destinations match: Agadir and Essaouira | Only remaining Marrakech 2-day coastal program,,assign,"Folder name adds 'Ait Benhaddou' and the cover image shows Ait Benhaddou kasbah, but the record itinerary is the Atlantic route (Agadir, Essaouira) and does not visit Ait Benhaddou. Cover replacement recommended."
3,tour,2-Day Desert Tour from Marrakech to Ouarzazate & Aït Benhaddou,2-day-desert-tour-from-marrakech-to-ouarzazate-and-ait-benhaddou,Tours from Marrakech,2 days,Tours from Marrakech,2-day Marrakech to Ait Benhaddou and Ouarzazate,2-day-marrakech-to-ait-benhaddou-and-ouarzazate-ait-benhaddou-kasbah-reflection-cover.webp,2-day-marrakech-to-ait-benhaddou-and-ouarzazate-ouarzazate-atlas-film-studios-gallery.webp,normalized-exact,0.95,Duration matches: 2 days | Origin matches: Marrakech | Destinations match: Ait Benhaddou and Ouarzazate,,assign,
4,tour,2-Day Marrakech Desert Tour to Casablanca & Rabat,2-day-marrakech-desert-tour-to-casablanca-and-rabat,Tours from Marrakech,2 days,Tours from Marrakech,2-day Marrakech to Casablanca and Rabat,2-day-marrakech-to-casablanca-and-rabat-hassan-ii-mosque-casablanca-cover.webp,2-day-marrakech-to-casablanca-and-rabat-rabat-kasbah-oudayas-blue-alley-gallery.webp,normalized-exact,0.95,Duration matches: 2 days | Origin matches: Marrakech | Destinations match: Casablanca and Rabat,,assign,
5,tour,2-Day Marrakech Desert Tour to Essaouira,2-day-marrakech-desert-tour-to-essaouira,Tours from Marrakech,2 days,Tours from Marrakech,2-day Marrakech to Essaouira,2-day-marrakech-to-essaouira-essaouira-fishing-boat-seagulls-cover.webp,2-day-marrakech-to-essaouira-essaouira-medina-ramparts-ocean-gallery.webp,normalized-exact,0.95,Duration matches: 2 days | Origin matches: Marrakech | Destination matches: Essaouira,,assign,
6,tour,Merzouga Desert Tour from Marrakech — 2 Days,merzouga-desert-tour-from-marrakech-2-days,Tours from Marrakech,2 days,Tours from Marrakech,2-day Marrakech to Merzouga desert,2-day-marrakech-to-merzouga-desert-erg-chebbi-camel-caravan-sunset-cover.webp,2-day-marrakech-to-merzouga-desert-merzouga-desert-camp-starry-night-gallery.webp,normalized-exact,0.93,Duration matches: 2 days | Origin matches: Marrakech | Destination matches: Merzouga desert,,assign,
7,tour,2-Day Sahara Desert Tour from Marrakech to Zagora,2-day-sahara-desert-tour-from-marrakech-to-zagora,Tours from Marrakech,2 days,Tours from Marrakech,2-day Marrakech to Zagora,2-day-marrakech-to-zagora-zagora-desert-camel-trek-sunset-cover.webp,2-day-marrakech-to-zagora-draa-valley-palm-oasis-gallery.webp,normalized-exact,0.95,Duration matches: 2 days | Origin matches: Marrakech | Destination matches: Zagora,,assign,
8,tour,Sahara Desert Tour from Marrakech — 3 Days to Chigaga,sahara-desert-tour-from-marrakech-3-days-to-chigaga,Tours from Marrakech,3 days,Tours from Marrakech,3-day Marrakech to Chigaga desert,3-day-marrakech-to-chigaga-desert-erg-chigaga-luxury-camp-tents-cover.webp,3-day-marrakech-to-chigaga-desert-erg-chigaga-4x4-desert-drive-gallery.webp,normalized-exact,0.93,Duration matches: 3 days | Origin matches: Marrakech | Destination matches: Chigaga (not Merzouga),,assign,
9,tour,Marrakech Desert Tour 3 Days to Merzouga Dunes,marrakech-desert-tour-3-days-to-merzouga-dunes,Tours from Marrakech,3 days,Tours from Marrakech,3-day Marrakech to Merzouga desert,3-day-marrakech-to-merzouga-desert-merzouga-sand-throwing-sunset-cover.webp,3-day-marrakech-to-merzouga-desert-sahara-camel-ride-vivid-sunset-gallery.webp,normalized-exact,0.93,Duration matches: 3 days | Origin matches: Marrakech | Destination matches: Merzouga dunes | Return-loop program distinct from the Fes one-way variant,,assign,
