record_index,section,data_title,data_slug,data_category,data_duration,match_status,confidence,image_category,image_program_folder,cover_path,gallery_path,cover_alt,gallery_alt,replacement_recommended,warning,validation_status,notes
0,tour,11-Day Morocco Desert Tour from Marrakech,11-day-morocco-desert-tour-from-marrakech,Tours from Marrakech,11 days,normalized-exact,0.92,Tours from Marrakech,11-day around Morocco from Marrakech,assets/images/programs/Tours from Marrakech/11-day around Morocco from Marrakech/11-day-around-morocco-from-marrakech-essaouira-beach-camels-surfer-cover.webp,assets/images/programs/Tours from Marrakech/11-day around Morocco from Marrakech/11-day-around-morocco-from-marrakech-chefchaouen-blue-medina-walk-gallery.webp,Surfer walking past resting camels on Essaouira beach,Woman in a red dress walking a bright blue Chefchaouen lane,yes,limited-compression-benefit; low-resolution; watermarked; recommended-for-replacement; limited-compression-benefit,ok,
1,tour,2-Day Desert Tour from Marrakech to Agadir,2-day-desert-tour-from-marrakech-to-agadir,Tours from Marrakech,2 days,normalized-exact,0.97,Tours from Marrakech,2-day Marrakech to Agadir,assets/images/programs/Tours from Marrakech/2-day Marrakech to Agadir/2-day-marrakech-to-agadir-agadir-beach-atlantic-bay-cover.webp,assets/images/programs/Tours from Marrakech/2-day Marrakech to Agadir/2-day-marrakech-to-agadir-agadir-marina-sunset-gallery.webp,Agadir's long sandy beach curving along the Atlantic bay,Agadir marina and promenade under an orange sunset sky,no,limited-compression-benefit; limited-compression-benefit,ok,
2,tour,2-Day Desert Tour from Marrakech to Agadir & Essaouira,2-day-desert-tour-from-marrakech-to-agadir-and-essaouira,Tours from Marrakech,2 days,high-confidence,0.82,Tours from Marrakech,2-day Marrakech to Ait Benhaddou Agadir and Essaouira,assets/images/programs/Tours from Marrakech/2-day Marrakech to Ait Benhaddou Agadir and Essaouira/2-day-marrakech-to-ait-benhaddou-agadir-and-essaouira-ait-benhaddou-kasbah-sunset-cover.webp,assets/images/programs/Tours from Marrakech/2-day Marrakech to Ait Benhaddou Agadir and Essaouira/2-day-marrakech-to-ait-benhaddou-agadir-and-essaouira-essaouira-fishing-port-blue-boats-gallery.webp,Ait Benhaddou ksar above palm groves in warm sunset light,Blue wooden fishing boats crowded in the Essaouira port,yes,low-resolution; limited-compression-benefit; clean,ok,"Folder name adds 'Ait Benhaddou' and the cover image shows Ait Benhaddou kasbah, but the record itinerary is the Atlantic route (Agadir, Essaouira) and does not visit Ait Benhaddou. Cover replacement recommended."
3,tour,2-Day Desert Tour from Marrakech to Ouarzazate & Aït Benhaddou,2-day-desert-tour-from-marrakech-to-ouarzazate-and-ait-benhaddou,Tours from Marrakech,2 days,normalized-exact,0.95,Tours from Marrakech,2-day Marrakech to Ait Benhaddou and Ouarzazate,assets/images/programs/Tours from Marrakech/2-day Marrakech to Ait Benhaddou and Ouarzazate/2-day-marrakech-to-ait-benhaddou-and-ouarzazate-ait-benhaddou-kasbah-reflection-cover.webp,assets/images/programs/Tours from Marrakech/2-day Marrakech to Ait Benhaddou and Ouarzazate/2-day-marrakech-to-ait-benhaddou-and-ouarzazate-ouarzazate-atlas-film-studios-gallery.webp,Ait Benhaddou ksar mirrored in the river at golden hour,Egyptian-style film set at the Atlas Studios in Ouarzazate,no,low-resolution; limited-compression-benefit; clean,ok,
4,tour,2-Day Marrakech Desert Tour to Casablanca & Rabat,2-day-marrakech-desert-tour-to-casablanca-and-rabat,Tours from Marrakech,2 days,normalized-exact,0.95,Tours from Marrakech,2-day Marrakech to Casablanca and Rabat,assets/images/programs/Tours from Marrakech/2-day Marrakech to Casablanca and Rabat/2-day-marrakech-to-casablanca-and-rabat-hassan-ii-mosque-casablanca-cover.webp,assets/images/programs/Tours from Marrakech/2-day Marrakech to Casablanca and Rabat/2-day-marrakech-to-casablanca-and-rabat-rabat-kasbah-oudayas-blue-alley-gallery.webp,Hassan II Mosque and its minaret beside the Casablanca coastline,Blue and white alley in Rabat's Kasbah of the Udayas,no,duplicate-source; clean,ok,
5,tour,2-Day Marrakech Desert Tour to Essaouira,2-day-marrakech-desert-tour-to-essaouira,Tours from Marrakech,2 days,normalized-exact,0.95,Tours from Marrakech,2-day Marrakech to Essaouira,assets/images/programs/Tours from Marrakech/2-day Marrakech to Essaouira/2-day-marrakech-to-essaouira-essaouira-fishing-boat-seagulls-cover.webp,assets/images/programs/Tours from Marrakech/2-day Marrakech to Essaouira/2-day-marrakech-to-essaouira-essaouira-medina-ramparts-ocean-gallery.webp,Fishing trawler surrounded by seagulls in Essaouira harbour,Essaouira's walled medina meeting the turquoise Atlantic,no,limited-compression-benefit; low-resolution; limited-compression-benefit,ok,
6,tour,Merzouga Desert Tour from Marrakech — 2 Days,merzouga-desert-tour-from-marrakech-2-days,Tours from Marrakech,2 days,normalized-exact,0.93,Tours from Marrakech,2-day Marrakech to Merzouga desert,assets/images/programs/Tours from Marrakech/2-day Marrakech to Merzouga desert/2-day-marrakech-to-merzouga-desert-erg-chebbi-camel-caravan-sunset-cover.webp,assets/images/programs/Tours from Marrakech/2-day Marrakech to Merzouga desert/2-day-marrakech-to-merzouga-desert-merzouga-desert-camp-starry-night-gallery.webp,Camel caravan crossing the Erg Chebbi dunes at sunset,Candle-lit desert camp beneath a star-filled Sahara sky,no,medium-confidence-subject; limited-compression-benefit; limited-compression-benefit,ok,
7,tour,2-Day Sahara Desert Tour from Marrakech to Zagora,2-day-sahara-desert-tour-from-marrakech-to-zagora,Tours from Marrakech,2 days,normalized-exact,0.95,Tours from Marrakech,2-day Marrakech to Zagora,assets/images/programs/Tours from Marrakech/2-day Marrakech to Zagora/2-day-marrakech-to-zagora-zagora-desert-camel-trek-sunset-cover.webp,assets/images/programs/Tours from Marrakech/2-day Marrakech to Zagora/2-day-marrakech-to-zagora-draa-valley-palm-oasis-gallery.webp,Camel trek heading into the bright desert sun near Zagora,Palm oasis with calm pools in the Draa valley,no,low-resolution; medium-confidence-subject; limited-compression-benefit,ok,
8,tour,Sahara Desert Tour from Marrakech — 3 Days to Chigaga,sahara-desert-tour-from-marrakech-3-days-to-chigaga,Tours from Marrakech,3 days,normalized-exact,0.93,Tours from Marrakech,3-day Marrakech to Chigaga desert,assets/images/programs/Tours from Marrakech/3-day Marrakech to Chigaga desert/3-day-marrakech-to-chigaga-desert-erg-chigaga-luxury-camp-tents-cover.webp,assets/images/programs/Tours from Marrakech/3-day Marrakech to Chigaga desert/3-day-marrakech-to-chigaga-desert-erg-chigaga-4x4-desert-drive-gallery.webp,White tented camp set among the dunes of Erg Chigaga,White 4x4 vehicle crossing the sands towards Erg Chigaga,no,clean; clean,ok,
9,tour,Marrakech Desert Tour 3 Days to Merzouga Dunes,marrakech-desert-tour-3-days-to-merzouga-dunes,Tours from Marrakech,3 days,normalized-exact,0.93,Tours from Marrakech,3-day Marrakech to Merzouga desert,assets/images/programs/Tours from Marrakech/3-day Marrakech to Merzouga desert/3-day-marrakech-to-merzouga-desert-merzouga-sand-throwing-sunset-cover.webp,assets/images/programs/Tours from Marrakech/3-day Marrakech to Merzouga desert/3-day-marrakech-to-merzouga-desert-sahara-camel-ride-vivid-sunset-gallery.webp,Guide throwing arcs of sand from a Merzouga dune at sunset,Camel riders silhouetted against a vivid desert sunset,no,limited-compression-benefit; medium-confidence-subject; low-resolution; limited-compression-benefit,ok,
